ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingGemeenteWijkBuurt_4,AantalInwoners_5,Mannen_6,Vrouwen_7,k_0Tot15Jaar_8,k_15Tot25Jaar_9,k_25Tot45Jaar_10,k_45Tot65Jaar_11,k_65JaarOfOuder_12,Ongehuwd_13,Gehuwd_14,Gescheiden_15,Verweduwd_16,Nederland_17,EuropaExclusiefNederland_18,BuitenEuropa_19,Nederland_20,EuropaExclusiefNederland_21,BuitenEuropa_22,EuropaExclusiefNederland_23,BuitenEuropa_24,GeboorteTotaal_25,GeboorteRelatief_26,SterfteTotaal_27,SterfteRelatief_28,HuishoudensTotaal_29,Eenpersoonshuishoudens_30,HuishoudensZonderKinderen_31,HuishoudensMetKinderen_32,GemiddeldeHuishoudensgrootte_33,Bevolkingsdichtheid_34,Woningvoorraad_35,NieuwbouwWoningen_36,NietWoningvoorraad_37,NieuwbouwNietWoningen_38,GemiddeldeWOZWaardeVanWoningen_39,PercentageEengezinswoning_40,PercentageTussenwoningEengezins_41,PercentageHoekwoningEengezins_42,PercentageTweeOnderEenKapWoningEe_43,PercentageVrijstaandeWoningEengezins_44,PercentageMeergezinswoning_45,OnbewoondeWoningen_46,Koopwoningen_47,HuurwoningenTotaal_48,InBezitWoningcorporatie_49,InBezitOverigeVerhuurders_50,BouwjaarMeerDanTienJaarGeleden_51,BouwjaarAfgelopenTienJaar_52,GemiddeldeElektriciteitsleveringTotaal_53,GemiddeldeElektriciteitsteruglevering_54,GemiddeldAardgasverbruikTotaal_55,PercentageWoningenMetStadsverwarming_56,AardgasvrijeWoningen_57,Aardgaswoningen_58,WoningenMetZonnestroom_59,WoningenHoofdzElektrischVerwarmd_60,AantalPubliekeLaadpalen_61,LeerlingenPo_62,LeerlingenVoInclVavo_63,StudentenMboExclExtranei_64,StudentenHbo_65,StudentenWo_66,BasisonderwijsVmboMbo1_67,HavoVwoMbo24_68,HboWo_69,WerkzameBeroepsbevolking_70,Nettoarbeidsparticipatie_71,PercentageWerknemers_72,WerknemersMetVasteArbeidsr_73,WerknemersMetFlexibeleArbe_74,PercentageZelfstandigen_75,AantalInkomensontvangers_76,GemiddeldInkomenPerInkomensontvanger_77,GemiddeldInkomenPerInwoner_78,k_40PersonenMetLaagsteInkomen_79,k_20PersonenMetHoogsteInkomen_80,PersonenInArmoede_81,PersonenTot25BovenArmoedegrens_82,GemGestandaardiseerdInkomen_83,k_40HuishoudensMetLaagsteInkomen_84,k_20HuishoudensMetHoogsteInkomen_85,MediaanVermogenVanParticuliereHuish_86,PersonenPerSoortUitkeringBijstand_87,PersonenPerSoortUitkeringAO_88,PersonenPerSoortUitkeringWW_89,PersonenPerSoortUitkeringAOW_90,JongerenMetJeugdzorgInNatura_91,PercentageJongerenMetJeugdzorg_92,WmoClienten_93,WmoClientenRelatief_94,BedrijfsvestigingenTotaal_95,ALandbouwBosbouwEnVisserij_96,BFNijverheidEnEnergie_97,GIHandelEnHoreca_98,HJVervoerInformatieEnCommunicatie_99,KLFinancieleDienstenOnroerendGoed_100,MNZakelijkeDienstverlening_101,OQOverheidOnderwijsEnZorg_102,RUCultuurRecreatieOverigeDiensten_103,PersonenautoSTotaal_104,PersonenautoSBrandstofBenzine_105,PersonenautoSOverigeBrandstof_106,PersonenautoSPerHuishouden_107,PersonenautoSNaarOppervlakte_108,Motorfietsen_109,AfstandTotHuisartsenpraktijk_110,AfstandTotGroteSupermarkt_111,AfstandTotKinderdagverblijf_112,AfstandTotSchool_113,ScholenBinnen3Km_114,OppervlakteTotaal_115,OppervlakteLand_116,OppervlakteWater_117,MeestVoorkomendePostcode_118,Dekkingspercentage_119,MateVanStedelijkheid_120,Omgevingsadressendichtheid_121,Naam_gebied
124,GM0059    ,Achtkarspelen                           ,Gemeente  ,GM0059    ,1,28200,14349,13851,4484,3550,6244,7625,6297,13033,11713,1862,1592,26466,722,1012,26466,308,358,414,654,,,,,12125,3917,3787,4421,2.3,276.0,12416,,1422,,294.0,87.0,15.0,13.0,15.0,43.0,13.0,3.0,64.0,36.0,30.0,6.0,96.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445,240.0,825.0,780.0,180.0,120.0,565.0,395.0,340.0,15925,11910,4020,1.3,156.0,1430,1.7,1.8,0.7,0.7,3.2,10398,10221,177,         .,,5.0,445.0,Achtkarspelen
125,WK005900  ,Achtkarspelen                           ,Wijk      ,WK005900  ,1,12150,6190,5960,1985,1575,2700,3250,2640,5695,4995,815,640,11180,440,535,11180,165,170,275,365,,,,,5230,1725,1580,1920,2.3,263.0,5251,,636,,283.0,89.0,16.0,14.0,17.0,41.0,11.0,3.0,63.0,37.0,31.0,6.0,97.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445,110.0,330.0,325.0,80.0,40.0,225.0,180.0,150.0,6740,5005,1735,1.3,146.0,620,1.7,1.6,0.7,0.7,3.2,4709,4625,84,         .,,5.0,413.0,Wijk 00 Noord
126,BU00590000,Achtkarspelen                           ,Buurt     ,BU00590000,1,5215,2555,2665,850,660,1095,1275,1335,2325,2190,360,340,4710,185,325,4710,65,95,120,230,,,,,2305,820,695,785,2.2,2098.0,2386,,287,,269.0,81.0,17.0,15.0,16.0,33.0,19.0,3.0,59.0,41.0,34.0,7.0,97.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505,5.0,80.0,100.0,50.0,15.0,100.0,85.0,75.0,2585,1975,610,1.1,1039.0,190,0.9,0.9,0.5,0.7,3.0,253,249,4,      9285,1.0,4.0,625.0,Buitenpost
127,BU00590001,Achtkarspelen                           ,Buurt     ,BU00590001,1,1045,555,480,150,140,255,295,200,520,410,70,45,950,60,25,955,15,10,45,20,,,,,460,165,130,165,2.3,559.0,436,,28,,294.0,95.0,10.0,11.0,17.0,57.0,5.0,5.0,66.0,34.0,25.0,9.0,98.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,20.0,50.0,45.0,0.0,10.0,15.0,15.0,10.0,615,455,155,1.3,329.0,65,3.0,2.9,0.6,0.6,1.9,186,186,0,      9286,1.0,5.0,118.0,Twijzel
128,BU00590002,Achtkarspelen                           ,Buurt     ,BU00590002,1,2095,1090,1010,365,260,515,550,415,1015,825,145,105,1930,105,60,1930,45,20,60,45,,,,,920,325,255,340,2.3,1672.0,890,,106,,250.0,94.0,27.0,22.0,19.0,26.0,6.0,1.0,59.0,41.0,38.0,3.0,98.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,5.0,55.0,50.0,10.0,0.0,25.0,30.0,25.0,1195,925,270,1.3,953.0,90,0.7,0.6,0.6,0.3,4.4,144,125,19,      9288,1.0,5.0,308.0,Kootstertille
129,BU00590003,Achtkarspelen                           ,Buurt     ,BU00590003,1,1605,850,755,260,210,390,465,280,790,650,115,45,1530,40,40,1530,20,15,20,25,,,,,675,190,210,275,2.4,1276.0,681,,37,,278.0,94.0,15.0,14.0,18.0,48.0,6.0,2.0,60.0,40.0,34.0,6.0,94.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,10.0,55.0,50.0,5.0,0.0,20.0,20.0,20.0,920,745,180,1.4,733.0,130,2.3,2.3,0.5,0.4,4.2,126,126,0,      9287,1.0,5.0,331.0,Twijzelerheide
130,BU00590004,Achtkarspelen                           ,Buurt     ,BU00590004,1,725,375,350,130,85,185,205,125,370,280,40,30,660,25,45,660,5,20,15,20,,,,,315,100,95,120,2.3,1171.0,319,,15,,246.0,98.0,18.0,18.0,29.0,33.0,2.0,3.0,69.0,31.0,28.0,4.0,99.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,5.0,25.0,15.0,5.0,5.0,20.0,10.0,5.0,430,340,90,1.4,696.0,50,6.0,5.6,0.5,0.6,1.0,64,62,2,      9873,1.0,5.0,143.0,Gerkesklooster
131,BU00590005,Achtkarspelen                           ,Buurt     ,BU00590005,1,710,355,355,125,115,125,210,135,350,290,55,25,670,15,30,670,10,10,5,15,,,,,265,55,90,115,2.7,45.0,247,,61,,406.0,98.0,0.0,0.0,22.0,76.0,2.0,4.0,77.0,23.0,18.0,5.0,91.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,30.0,30.0,25.0,5.0,5.0,25.0,15.0,10.0,420,285,135,1.6,26.0,45,2.2,2.0,1.5,1.8,2.6,1602,1594,8,      9285,1.0,5.0,254.0,Verspreide huizen Buitenpost
132,BU00590006,Achtkarspelen                           ,Buurt     ,BU00590006,1,100,55,45,15,15,15,30,20,40,45,10,0,95,0,5,90,0,0,0,0,,,,,30,5,10,20,2.9,14.0,36,,2,,453.0,94.0,0.0,0.0,0.0,94.0,6.0,8.0,97.0,3.0,0.0,3.0,89.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,40,25,15,,,5,2.5,2.5,1.7,1.8,1.5,718,709,9,      9286,1.0,5.0,80.0,Verspreide huizen Twijzel
133,BU00590007,Achtkarspelen                           ,Buurt     ,BU00590007,1,360,190,170,55,60,65,115,65,165,165,10,20,350,10,0,345,5,0,0,5,,,,,135,25,45,65,2.7,59.0,131,,68,,428.0,99.0,0.0,0.0,0.0,99.0,1.0,5.0,97.0,3.0,0.0,3.0,94.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,15.0,25.0,35.0,5.0,5.0,10.0,5.0,5.0,380,155,225,,,25,2.0,1.9,1.5,1.5,3.6,636,608,28,      9288,1.0,5.0,102.0,Verspreide huizen Kootstertille
134,BU00590008,Achtkarspelen                           ,Buurt     ,BU00590008,1,225,120,105,30,25,35,75,60,90,115,10,15,220,5,0,225,0,0,5,5,,,,,95,30,35,30,2.4,49.0,94,,26,,418.0,96.0,0.0,0.0,0.0,96.0,4.0,3.0,90.0,10.0,3.0,6.0,99.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10.0,10.0,5.0,0.0,0.0,5.0,5.0,5.0,120,80,40,1.2,26.0,15,3.4,3.3,1.9,1.8,2.7,474,469,5,      9287,1.0,5.0,105.0,Verspreide huizen Twijzelerheide
135,BU00590009,Achtkarspelen                           ,Buurt     ,BU00590009,1,70,40,30,10,15,5,30,10,35,30,5,5,65,0,0,70,0,0,0,0,,,,,25,10,10,10,2.4,13.0,31,,6,,435.0,100.0,0.0,0.0,6.0,94.0,0.0,10.0,94.0,6.0,0.0,6.0,97.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,40,20,20,,,5,5.9,5.7,1.8,2.0,0.9,506,496,10,      9873,2.0,5.0,45.0,Verspreide huizen Gerkesklooster
136,WK005901  ,Achtkarspelen                           ,Wijk      ,WK005901  ,1,3170,1660,1510,485,455,715,935,575,1505,1340,165,150,3010,80,80,3010,30,30,50,50,,,,,1325,400,430,505,2.4,158.0,1347,,130,,308.0,92.0,10.0,9.0,15.0,57.0,8.0,4.0,76.0,24.0,18.0,6.0,98.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,55.0,115.0,85.0,15.0,10.0,55.0,50.0,40.0,1895,1370,525,1.4,95.0,215,2.7,3.7,0.6,0.7,3.1,2087,2003,84,         .,,5.0,166.0,Wijk 01 Centrum
