,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
ID,0.06416576261216722,-0.010029468106364634,-0.06226827206863028,-0.01966955959086598,0.0007276493152431658,-0.08204636918284695,-0.13558359271390252,0.011063121208012217,-0.11475647194086744,0.08439433620791262
"Indelingswijziging gemeente, wijk, buurt",0.024329699528333654,0.037798747111799945,0.0013457682207162682,-0.07450281060997223,0.03689706142890597,0.018763605919955424,-0.04174737350034046,-0.024558335605998335,-0.032079001023582514,0.007497109442534993
Aantal inwoners,0.030253280164523548,0.03044981155533888,0.9968616179217877,-0.003035403895672417,0.018980746334651244,-0.026744743018614976,0.02655694933064155,-0.012425849899806938,-0.016759038636184033,-0.01347830865713853
Mannen,0.030446080980941103,0.028842184754721993,0.9967774985265613,-0.00345950419889624,0.019302491338007776,-0.026801608832610915,0.025550995285610594,-0.011330687332697235,-0.016565196179100922,-0.01293801944985787
Vrouwen,0.030091666178085875,0.032048268013679965,0.9968261418278206,-0.002641242622122838,0.018632582147527006,-0.026662564153139775,0.02753016801133231,-0.013495964014628128,-0.016888103300629967,-0.014041400825511089
0 tot 15 jaar,0.031189137751217417,0.017734414838971292,0.9918505023240638,-0.005777533265563207,0.02026697651446617,-0.032164949329849514,0.03831642718344207,-0.027084628988794948,-0.01867033171945251,-0.014576296025965095
15 tot 25 jaar,0.026437706529085028,0.0471436864983789,0.9855927329714491,-0.0053184826236386375,0.014490661322594654,-0.015183753575174765,0.010013510477597597,0.006409787225314851,-0.009198758005233915,-0.016336794627501303
25 tot 45 jaar,0.027784280771885175,0.04773026462323713,0.9914871617548692,-0.00539864959973405,0.01486732556356618,-0.019579787553967255,0.016044839463353135,-0.010727933330509335,-0.01531933661331468,-0.01762010889834916
45 tot 65 jaar,0.03162011321284262,0.016269586702249247,0.9930783733922602,-0.0027836068335069792,0.0216629456966244,-0.030942232430941154,0.02844364318458562,-0.01329229892337375,-0.016558404836875377,-0.010332800577420179
65 jaar of ouder,0.032097292508471556,0.02665307235855076,0.9872911145326644,0.0022444929063348985,0.021593417315246322,-0.03160996642646953,0.036395659049259316,-0.014222967391522194,-0.021141574228119995,-0.010112184417386668
Ongehuwd,0.027562209012725283,0.04304545832616779,0.9933686096212601,-0.0051236834735427115,0.015241067507857397,-0.018898171562346307,0.015366355159329818,-0.007008009302415022,-0.013626871564992383,-0.016047600605012882
Gehuwd,0.03358455171060624,0.006709200321903236,0.9836633484557308,-0.0012269182600349886,0.024507166345940204,-0.0377593683904945,0.04095230860188234,-0.01746112807939682,-0.019216448587247855,-0.008773947699173687
Gescheiden,0.027765181949412,0.05357194285039695,0.9930175602725518,-0.00204740412883544,0.01359370919554935,-0.020387484731801332,0.01801682206541674,-0.016967386467136313,-0.016830635679566275,-0.01794270588007459
Verweduwd,0.03237429144633473,0.03716950034391077,0.9774616186347853,0.0020265574036556185,0.02139788592758992,-0.029627893786580765,0.040320123644870816,-0.019843804456831295,-0.026015194289429763,-0.013605991677778881
Nederland,0.032016040860141044,0.020307761894992296,0.9923836371700644,-0.002825763246971152,0.02193055706688237,-0.031793471690408345,0.030575673159443616,-0.012762198778366563,-0.019166150761966528,-0.011809641896642638
Europa (exclusief Nederland) ,0.02224326304732067,0.06565699007374644,0.9631836393961246,-0.005935807896883113,0.009946391585231862,-0.005591601416247214,0.0006587354467396565,0.002348413679746199,-0.004066644424183597,-0.008337655993517459
Buiten Europa ,0.018084798009395237,0.0842737192191547,0.9212460104134943,-0.0029156995091892423,-0.0002699031112485617,0.0031886984970177813,0.006768947298744531,-0.01569891026939912,-0.003164104318008955,-0.026615442623966253
Nederland.1,0.03200684093846226,0.020310605367771406,0.992382755724478,-0.0028251453397494597,0.021937683393121438,-0.03180867230888475,0.03056215857781215,-0.012771592611233616,-0.019152550827310284,-0.011815560866012027
Europa (exclusief Nederland) .1,0.025112725303288383,0.0543838439989847,0.9819811921572106,-0.0044842172757643085,0.011998718760600364,-0.018020316506702043,0.013107072674989758,-0.013006353700032789,-0.007749749084393579,-0.014614664856821093
Buiten Europa .1,0.01765972431645205,0.07890565221372144,0.9141707584983114,-0.0011138387942384704,-0.0006548009841646213,0.0002018286326184496,0.0027281109024946976,-0.01868113558868995,-0.001724737575290374,-0.026511405157014577
Europa (exclusief Nederland),0.020122027312825756,0.07232271024572236,0.9366652767877591,-0.006936607601278456,0.008944257914454624,0.002396554355324925,-0.007028791191999227,0.011362790817000874,-0.0020071407468408987,-0.004525643042746025
Buiten Europa,0.018188104106356948,0.0878299161648055,0.9235718583427855,-0.004147518239759001,-0.0005261129616852792,0.005189086691330321,0.009836229772068173,-0.01383556503645218,-0.004344235209924677,-0.026450535732629718
Huishoudens totaal,0.028220465563490216,0.047333315060015604,0.9957478846403494,-0.00308346516672007,0.015757537309872633,-0.02070885759619785,0.015569843672661201,-0.005921576508605719,-0.014972697178108004,-0.014972834890433427
Eenpersoonshuishoudens,0.023023190367077964,0.08173144633291841,0.968834950827997,-0.0038933825761406117,0.00849968063023602,-0.00514964497896802,-0.005946223073255582,0.007390879828028539,-0.011163786314965736,-0.018533568550358467
Huishoudens zonder kinderen,0.03127641193659181,0.0246706886575068,0.9948972907562181,-0.00044818969890153353,0.021070857301530303,-0.030901501636390327,0.02744807380250641,-0.008005330366811983,-0.016734999785078246,-0.009658130030479231
Huishoudens met kinderen,0.031403757983209456,0.017212971468109548,0.9922635354619666,-0.004275789379124086,0.0205577902633822,-0.03272067925672329,0.034992867035714414,-0.0233541307504371,-0.018063405564957384,-0.014449665204559922
Gemiddelde huishoudensgrootte,-0.1263525910078424,-0.5654595091827618,-0.10197231658797522,-0.16676438900443558,-0.07308956507742023,-0.015466925104679442,0.022828335862151213,-0.055562700868818336,0.06317220950907729,-0.12253236376782348
Bevolkingsdichtheid,0.07210921173651458,0.8633519465625659,-0.005201979546464121,0.1456759910779593,0.014238922619554216,-0.04391391004630984,0.0009430216847783516,0.04076292804458214,-0.011892788318389637,-0.10754885177963501
Woningvoorraad,0.028755496496038965,0.045691126322296716,0.9968017601175505,-0.003120429536887132,0.01659168939045397,-0.02242794513947782,0.017848999688924325,-0.007096003719560519,-0.014950944585778319,-0.01467616127439346
Niet-woningvoorraad,0.031012511993472897,0.029918432931112387,0.9410280739424666,-0.02829799535313752,0.02817428619173103,0.013719415826283166,0.018902310892122687,0.005522509135048001,-0.006585960575443827,0.04636295917374381
Gemiddelde WOZ-waarde van woningen,-0.1199968695291113,-0.5676636663292537,-0.10404358931360841,-0.014219561716069582,-0.08307979249886491,0.16376682060501063,-0.04978515213367401,0.026344089896940755,0.29930087543780093,0.010190622634498058
Percentage eengezinswoning,-0.06017760323694634,-0.6646345655382175,-0.12361103922393464,-0.09973577469473757,-0.01529416231525003,-0.14435894719990325,0.05304824805012591,-0.1339724042963037,-0.07603296671585716,-0.01779272254909205
Percentage tussenwoning (eengezins),0.09132986350504815,0.5800275010575033,0.15936947098089052,0.06570326700972426,0.03318869900766935,-0.12950743923101596,0.14221114969845705,-0.34140994381401385,-0.04193511878125479,-0.09584112416500255
Percentage hoekwoning (eengezins),0.11609452385541547,0.4673950513506251,0.14358598547500429,0.04954719790189016,0.08273354625694224,-0.23084275811616276,0.20434380551535156,-0.3583312192604092,-0.13594245207447425,-0.05266457501636792
Percentage twee-onder-één-kap-woning (ee,0.14850334623529576,-0.09965051403904239,-0.013952646764908488,0.012415775116813849,0.18003294358624625,-0.37970442341690946,0.1298213053676704,-0.07553519957983501,-0.13868827377671408,0.16547924757791432
Percentage vrijstaande woning (eengezins,-0.14367278048917145,-0.745676078568689,-0.172013231178848,-0.07670723748523027,-0.09018128878834634,0.18541515856438429,-0.13115811728453153,0.21313680384036066,0.06979820897988427,-0.04467568659955735
Percentage meergezinswoning,0.060008872158346015,0.6645528464984661,0.12358863361057941,0.09965888105805401,0.015133221148112105,0.14439002448740906,-0.05308120436630798,0.13404958554813654,0.07597981701418315,0.01771571826106806
Onbewoonde woningen,-0.06530615066422131,-0.04758036997368178,-0.029825914945987436,-0.0920469015761323,0.0024110475186552233,0.1779123723007785,-0.0879952708700396,0.09271982081034859,0.28863481355433124,0.12515487300820535
Koopwoningen,-0.09023559682964408,-0.7323039892616825,-0.1525741352651469,-0.08854938103162616,-0.027643223049771303,-0.06141581853025286,-0.009549950438008235,0.0827943017943217,0.05871764496329194,0.060595454940227986
Huurwoningen totaal,0.0908359731759731,0.7327785050989002,0.15283382384952723,0.08932302612328534,0.027111826337826654,0.06131442817392352,0.00923170624949807,-0.0831896975928704,-0.06309848083234097,-0.06326063929440086
