,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
ID,-0.003966925261723023,0.008846333766958047,-0.01268261793254862,-0.005448902217335563,0.00816458333296591,-0.05907348026909768,-0.009080093787806649,0.05366207953752805,-0.025515816773924112,0.015577477262018094,-0.009492002506855406,-0.0976518000790358,-0.0564210251221191,0.094936068365356,-0.036069648364621364,0.007101408833658499,0.0022158950435780442,-0.08811215896810831,-0.011838979579035812,0.08858230100872852,-0.059612060220272135,0.07628093501962888,0.13611914099638003,0.03886128183059446,-0.24078072513051355,0.21760404605475114,0.061093298656021755,0.24735794229434543,-0.05391047975733389
"Indelingswijziging gemeente, wijk, buurt",-0.0015962480950396172,0.00511953537470794,0.0020282879875563064,-0.01657607994970705,0.005669611376739217,0.0032411295419120787,-0.012799816350775001,0.022761996219598533,-0.012035925629010092,0.02578313717047813,0.07762309766820617,0.0649845900386599,0.0745915959513061,-0.08967380166942242,0.05208392292225385,-0.006149162861043355,0.07276369878872131,0.006614186421427868,-0.07715957683816099,-0.01233524840146662,-0.06400936715658236,-0.0952373129108649,-0.11315082690156303,0.16257150387090763,0.1288291394698332,-0.005272306011516738,0.30976697990779334,0.013867260290656895,-0.11889461178541058
Aantal inwoners,-0.018284861455543294,0.011445890186100689,0.1770681876537575,0.028277243267966136,-0.011061853308269452,-0.003430652488190785,-0.0004640310563343582,-0.0006755706283342168,0.001682684001126403,-0.006413981199752227,-0.010698045078207192,-0.010655369684308297,0.002797136301960442,0.006240840759532501,0.0065892504856565936,-0.0026966212749182654,0.0009584538930561431,1.9499384405168782e-05,0.006673713794060886,0.005720578096840403,-0.002228515773767244,-0.001097528241215785,-0.0071835079878446745,-0.003556869584158188,-0.001030260287477598,0.0012506351758340907,-0.006137550865735696,0.0005821981264258147,-0.004320506157262178
Mannen,-0.018142742429489215,0.011629294909706909,0.17704378870670873,0.02835043199831528,-0.010905899949203128,-0.0036973896790425433,-0.0007288404103252704,-0.00046242191257299674,0.0018479408242779974,-0.006756983201156572,-0.011247994160321188,-0.010777066771010516,0.0029366166141184314,0.006106382152997496,0.006238106942689896,-0.001779432919161186,0.0006251692271013623,-2.231540168318895e-05,0.006322326535519456,0.004511114216679049,-0.0012866586928118743,0.002068684189904253,-0.007129581374145015,-0.0030018330631641733,-0.00067801474064507,0.0015349959335706745,-0.006579505771049998,0.00012688904037587046,-0.004439933632550235
Vrouwen,-0.01842296224786216,0.011268942813095808,0.17707091742875833,0.02819603333868931,-0.011227103026329285,-0.003160154204470827,-0.00020997129791528257,-0.0008951747646430044,0.001542116407862632,-0.006070647225294744,-0.010142693594783618,-0.010521759759057567,0.0027126450165865152,0.006372931777342595,0.006960479346910499,-0.0036257683909656233,0.0012476392563228224,6.728088241605569e-05,0.0070112779446245685,0.006923793053398987,-0.0031377803713196328,-0.0042930744428775385,-0.007223932249245523,-0.004101107741422647,-0.0014137419417604232,0.0009684973605481038,-0.005704782257489355,0.0010438777408566158,-0.004193201939483584
0 tot 15 jaar,-0.017629743225408456,0.012303536504572148,0.17631096487910777,0.029078061753341548,-0.008679351982743624,-0.0019732844217722864,0.006205836989921388,-0.0016761252938686277,0.00028035234548440296,-0.004377213908485212,-0.01488066001858724,-0.011388578236088716,0.005680059599217084,0.010726833116225137,0.009679538601948185,0.0028355531875696475,0.00014864099808917065,-0.0048765780858145424,0.006379188457748751,0.007834881602278047,-0.0034011290784240595,0.012799302546170049,-0.008754105254100242,-0.006754410748317517,0.0043693347726383135,0.0022496130194867084,-0.011294058088045636,-0.0030010312058646425,-0.008211075829127666
15 tot 25 jaar,-0.01817527502517347,0.010308514801760782,0.17522689683837936,0.025743796183266086,-0.014962743612383488,-0.003953928626656174,-0.009732779598861797,-0.0005292947770354763,0.004869496244754967,-0.007996900998068596,-0.0015856972683265642,-0.010918460354692763,0.007641757000798472,0.005387023390367809,0.012655100821848559,-0.013230709290070702,0.008135328637740894,0.0027237684173972727,0.01404453160867467,0.021667995262328713,-0.021488000419897568,-0.06101291961079497,-0.01849078186416274,-0.01287587060392242,-0.014276369318604227,0.0023660323702800142,-0.0033150071768277526,0.0011151410248147215,-0.0032596995143834924
25 tot 45 jaar,-0.01874743900357078,0.010254307908096933,0.17628390254900533,0.02607915547801136,-0.014010856305955142,-0.0031123209617935064,-0.0048940017813018846,-0.000216041619436431,0.0024775493174224628,-0.0030012010280804995,-0.0034815139505451715,-0.010290589014804069,0.004837094267689449,0.006955036884072567,0.011836972344050484,-0.009154705136249178,0.008152818196239999,-0.00012006087469673376,0.011976761727087974,0.02559681463310821,-0.018221902236406046,-0.05131079730755018,-0.013428154861588066,-0.015502135508392953,-0.01436242473346399,0.0014706113797583432,-0.009045707468713448,0.001969553681564856,-0.004045707354080324
45 tot 65 jaar,-0.017485417437982795,0.0124988852140712,0.1763366649260225,0.029592803128411456,-0.008954076189619234,-0.00426288053356246,0.0016580872770687487,-0.00020539759840023102,0.0019716625885728457,-0.007921655698220564,-0.016867459855857612,-0.011630809803136678,0.002860937510824143,0.007383370984581498,0.003868410317712175,0.002741861446359105,-0.0035195519662013803,-0.00032745276935689617,0.004533364272021259,-0.005064642295604598,0.005507056634513896,0.02834885443807848,-0.00352322299032659,0.0028667996760316236,0.0063039049952316505,0.0013036485184954533,-0.0063073328063287006,-0.0008820292239118937,-0.004260664160578741
65 jaar of ouder,-0.01870742076761563,0.011264074809776592,0.17533163162368978,0.029192168041775164,-0.009396230401392265,-0.0033185270346796267,0.002664269111405094,-0.00110986139630108,-0.0004475237377023629,-0.008461544044559774,-0.013280105055392554,-0.00901321891806397,-0.004020642281231679,0.001542986331797073,-0.0014162579032665219,0.0002844610007165232,-0.005006596564597101,0.002223440071174253,-0.0006272088038620267,-0.013046490993265776,0.017368952127054523,0.042350540971952955,0.0026932814495843884,0.008989444767061965,0.008460529085930516,-0.00031408947062215397,-0.001041592447076261,0.002776625598231755,-0.0026011414658159973
