,Thema
ID,
"Indelingswijziging gemeente, wijk, buurt",
Aantal inwoners,Factor3
Mannen,Factor3
Vrouwen,Factor3
0 tot 15 jaar,Factor3
15 tot 25 jaar,Factor3
25 tot 45 jaar,Factor3
45 tot 65 jaar,Factor3
65 jaar of ouder,Factor3
Ongehuwd,Factor3
Gehuwd,Factor3
Gescheiden,Factor3
Verweduwd,Factor3
Nederland,Factor3
Europa (exclusief Nederland) ,Factor3
Buiten Europa ,Factor3
Nederland.1,Factor3
Europa (exclusief Nederland) .1,Factor3
Buiten Europa .1,Factor3
Europa (exclusief Nederland),Factor3
Buiten Europa,Factor3
Huishoudens totaal,Factor3
Eenpersoonshuishoudens,Factor3
Huishoudens zonder kinderen,Factor3
Huishoudens met kinderen,Factor3
Gemiddelde huishoudensgrootte,Factor2
Bevolkingsdichtheid,Factor2
Woningvoorraad,Factor3
Niet-woningvoorraad,Factor3
Gemiddelde WOZ-waarde van woningen,Factor2
Percentage eengezinswoning,Factor2
Percentage tussenwoning (eengezins),Factor2
Percentage hoekwoning (eengezins),Factor2
Percentage twee-onder-één-kap-woning (ee,Factor6
Percentage vrijstaande woning (eengezins,Factor2
Percentage meergezinswoning,Factor2
Onbewoonde woningen,
Koopwoningen,Factor2
Huurwoningen totaal,Factor2
In bezit woningcorporatie,Factor2
In bezit overige verhuurders,Factor2
Bouwjaar meer dan tien jaar geleden,
Bouwjaar afgelopen tien jaar,
Personenauto's totaal,Factor3
Personenauto's; brandstof benzine,Factor3
Personenauto's; overige brandstof,Factor3
Personenauto's per huishouden,Factor2
Personenauto's naar oppervlakte,Factor2
Motorfietsen,Factor3
Oppervlakte totaal,Factor3
Oppervlakte land,Factor3
Oppervlakte water,Factor3
Dekkingspercentage,
Mate van stedelijkheid,Factor2
Omgevingsadressendichtheid,Factor2
OBJECTID,Factor4
BEV_DICHTH,
AANT_INW,Factor7
G_WOZ,Factor2
HuurwTperc,Factor2
F18MoeiteMe,Factor2
Paal_Huidig,Factor8
Paal_2050_Laag,Factor8
Paalrot_2050_Hoog,Factor8
Verschilzetting_2050_Laag,Factor9
Verschilzetting_2050_Hoog,Factor9
perc5_10mm,Factor8
perc10_15mm,Factor2
perc15_20mm,Factor2
perc20_30mm,Factor2
perc30mmME,Factor10
percNODATA,Factor2
P_H_SOCMIN,Factor2
GLGHuidigMean,Factor9
GLG2050HoogMean,
GHGMean,Factor9
HG3MaxHuidig,Factor2
LG3MaxHuidig,Factor9
P_schaduw_fw,Factor4
SUM_Shape_Area,Factor7
Oppervlakte_Totaal_m2,Factor6
Oppervlakte_Land_VSK_m2,Factor6
Oppervlakte_Water_VSK_m2,Factor9
Oppervlakte_Openbaar_m2,Factor6
Oppervlakte_NietOpenbaar_m2,Factor6
Groen_PerInwoner_m2,Factor10
Groen_PercLand,Factor4
Groen_Openbaar_PercOpenbaar,Factor2
Groen_NietOpenbaar_PercNO,Factor10
Steen_PercLand,Factor2
Steen_Openbaar_PercOpenbaar,Factor2
Steen_NietOpenbaar_PercNO,Factor2
Water_VSK_PercTotaal,Factor9
Gras_PercLand,Factor10
Struiken_PercLand,Factor4
Onverhard_PercLand,Factor4
Halfverhard_PercLand,
Verhard_PercLand,Factor2
Gebouwen_VSK_PercLand,Factor2
Agrarisch_PercLand,Factor2
Oppervlakte_Land_ONO_m2,Factor6
Oppervlakte_Water_ONO_m2,Factor9
Gebouwen_ONO_PercLand,Factor2
Water_ONO_PercTotaal,Factor9
Oppervlakte_Totaal_m2_BK,Factor7
Oppervlakte_Land_VSK_m2_BK,Factor7
Oppervlakte_Water_VSK_m2_BK,Factor7
Oppervlakte_Openbaar_m2_BK,Factor7
Oppervlakte_NietOpenbaar_m2_BK,Factor7
Groen_PercLand_BK,
Groen_Openbaar_PercOpenbaar_BK,Factor2
Steen_PercLand_BK,Factor2
Steen_Openbaar_PercOpenbaar_BK,Factor2
Water_VSK_PercTotaal_BK,
Gras_PercLand_BK,
Struiken_PercLand_BK,
Onverhard_PercLand_BK,Factor2
Halfverhard_PercLand_BK,
Verhard_PercLand_BK,Factor2
Gebouwen_VSK_PercLand_BK,Factor2
Agrarisch_PercLand_BK,
Gebouwen_ONO_PercLand_BK,Factor2
Water_ONO_PercTotaal_BK,
Oppervlakte_Land_ONO_m2_BK,Factor7
Oppervlakte_Water_ONO_m2_BK,Factor7
Openbaar_percland,Factor2
Nietopenbaar_percland,Factor2
Onverhard_agr_percland,Factor2
Onverhard_agr_percland_BK,Factor2
