,Thema
ID,
"Indelingswijziging gemeente, wijk, buurt",PC27
Aantal inwoners,
Mannen,
Vrouwen,
0 tot 15 jaar,
15 tot 25 jaar,
25 tot 45 jaar,
45 tot 65 jaar,
65 jaar of ouder,
Ongehuwd,
Gehuwd,
Gescheiden,
Verweduwd,
Nederland,
Europa (exclusief Nederland) ,
Buiten Europa ,
Nederland.1,
Europa (exclusief Nederland) .1,
Buiten Europa .1,
Europa (exclusief Nederland),
Buiten Europa,
Huishoudens totaal,
Eenpersoonshuishoudens,
Huishoudens zonder kinderen,
Huishoudens met kinderen,
Gemiddelde huishoudensgrootte,
Bevolkingsdichtheid,
Woningvoorraad,
Niet-woningvoorraad,
Gemiddelde WOZ-waarde van woningen,
Percentage eengezinswoning,
Percentage tussenwoning (eengezins),
Percentage hoekwoning (eengezins),
Percentage twee-onder-één-kap-woning (ee,
Percentage vrijstaande woning (eengezins,
Percentage meergezinswoning,
Onbewoonde woningen,
Koopwoningen,
Huurwoningen totaal,
In bezit woningcorporatie,
In bezit overige verhuurders,
Bouwjaar meer dan tien jaar geleden,
Bouwjaar afgelopen tien jaar,
Personenauto's totaal,
Personenauto's; brandstof benzine,
Personenauto's; overige brandstof,
Personenauto's per huishouden,
Personenauto's naar oppervlakte,
Motorfietsen,
Oppervlakte totaal,PC22
Oppervlakte land,
Oppervlakte water,PC22
Dekkingspercentage,
Mate van stedelijkheid,
Omgevingsadressendichtheid,
OBJECTID,
BEV_DICHTH,
AANT_INW,
G_WOZ,
HuurwTperc,
F18MoeiteMe,
Paal_Huidig,
Paal_2050_Laag,
Paalrot_2050_Hoog,
Verschilzetting_2050_Laag,PC26
Verschilzetting_2050_Hoog,PC26
perc5_10mm,
perc10_15mm,
perc15_20mm,
perc20_30mm,
perc30mmME,
percNODATA,
P_H_SOCMIN,
GLGHuidigMean,
GLG2050HoogMean,
GHGMean,
HG3MaxHuidig,
LG3MaxHuidig,
P_schaduw_fw,
SUM_Shape_Area,
Oppervlakte_Totaal_m2,
Oppervlakte_Land_VSK_m2,
Oppervlakte_Water_VSK_m2,
Oppervlakte_Openbaar_m2,
Oppervlakte_NietOpenbaar_m2,
Groen_PerInwoner_m2,
Groen_PercLand,
Groen_Openbaar_PercOpenbaar,
Groen_NietOpenbaar_PercNO,
Steen_PercLand,
Steen_Openbaar_PercOpenbaar,
Steen_NietOpenbaar_PercNO,
Water_VSK_PercTotaal,PC9
Gras_PercLand,
Struiken_PercLand,
Onverhard_PercLand,
Halfverhard_PercLand,PC24
Verhard_PercLand,
Gebouwen_VSK_PercLand,
Agrarisch_PercLand,
Oppervlakte_Land_ONO_m2,
Oppervlakte_Water_ONO_m2,
Gebouwen_ONO_PercLand,
Water_ONO_PercTotaal,PC9
Oppervlakte_Totaal_m2_BK,
Oppervlakte_Land_VSK_m2_BK,
Oppervlakte_Water_VSK_m2_BK,
Oppervlakte_Openbaar_m2_BK,
Oppervlakte_NietOpenbaar_m2_BK,
Groen_PercLand_BK,
Groen_Openbaar_PercOpenbaar_BK,
Steen_PercLand_BK,
Steen_Openbaar_PercOpenbaar_BK,
Water_VSK_PercTotaal_BK,PC21
Gras_PercLand_BK,
Struiken_PercLand_BK,PC29
Onverhard_PercLand_BK,
