Indicator;Categorie;Attribuutnaam;Beschikbare AHNversies (naam achtervoegsel);Bebouwde kom beschikbaar (naam achtervoegsel);Omschrijving kort;Eenheid;Bron;Omschrijving lang
nvt;nvt;buurtcode2024;;;Buurtcode op basis van CBS wijk en buurtkaart 2024;BUXXXXXXXX;CBS (2024);Buurtcode van de geselecteerde buurt volgens de CBS wijk en buurtkaart 2024
nvt;nvt;BU_NAAM;;;Buurtnaam;Tekst;CBS (2024);Buurtnaam van de geselecteerde buurt
nvt;nvt;buurtcode2020;;;Buurtcode op basis van CBS wijk en buurtkaart 2020;BUXXXXXXXX;CBS (2024);Buurtcode van de geselecteerde buurt volgens de CBS wijk en buurtkaart 2020
nvt;nvt;buurtcode2021;;;Buurtcode op basis van CBS wijk en buurtkaart 2021;BUXXXXXXXX;CBS (2024);Buurtcode van de geselecteerde buurt volgens de CBS wijk en buurtkaart 2021
nvt;nvt;buurtcode2022;;;Buurtcode op basis van CBS wijk en buurtkaart 2022;BUXXXXXXXX;CBS (2024);Buurtcode van de geselecteerde buurt volgens de CBS wijk en buurtkaart 2022
nvt;nvt;buurtcode2023;;;Buurtcode op basis van CBS wijk en buurtkaart 2023;BUXXXXXXXX;CBS (2024);Buurtcode van de geselecteerde buurt volgens de CBS wijk en buurtkaart 2023
nvt;nvt;GM_CODE;;;Gemeentecode;GMXXXX;CBS (2022);Gemeentecode van de gemeente waar de geselecteerde buurt onder valt
nvt;nvt;GM_NAAM;;;Gemeentenaam;Tekst;CBS (2022);Gemeentenaam van de gemeente waar de geselecteerde buurt onder valt
Bevolkingsdichtheid;Gebiedskenmerken;BEV_DICHTH;;;Bevolkingsdichtheid;Aantal per km2;CBS (2023);Deze statistieken laten het aantal inwoners per km2 zien op basis van de CBS Wijk en Buurtkaart 2022. In buurten met een hoge bevolkingsdichtheid worden veel mensen blootgesteld aan klimaateffecten. Tegelijk is de druk op de buitenruimte daar vaak hoog waardoor er minder ruimte is voor adaptiemaatregelen.
nvt;nvt;AANT_INW;;;Aantal inwoners;Aantal;CBS (2023);Deze statistieken laten het aantal inwoners per km2 zien op basis van de CBS Wijk en Buurtkaart 2022. In buurten met een hoge bevolkingsdichtheid worden veel mensen blootgesteld aan klimaateffecten. Tegelijk is de druk op de buitenruimte daar vaak hoog waardoor er minder ruimte is voor adaptiemaatregelen.
