Thema;Titel dataset in de kaartviewer;Datasetnaam in downloadfolder;Varianten van dataset;Klimaatscenario's;Kennisinstelling/bronhouder;Publicatiedatum op KEA;Oorspronkelijke publicatiedatum (indien afwijkend van KEA);Resolutie;Eenheden;Attribuutvelden ter visualisatie;Link kaartverhaal NL;Map narrative ENG;Aanvullend Kaartverhaal / Informatie;Additional map explanation / information ENG;Link NGR;WMS-laag
;;;;N.v.t., KNMI'14;;;indien afwijkend;pixelgrootte of vectorvorm;;based on attributetables in GIS;Bevat o.a. achtergrond informatie over toegepaste methode + toepasbaarheid;Includes background information on the methodology, adaptive measures and use;;;;https://cas.cloud.sogelink.com/public/data/org/gws/YWFMLMWERURF/kea_public/wms?service=wms&request=getcapabilities
Wateroverlast;Maatgevende grondwaterstand (GHG);Maatgevende_grondwaterstand_(GHG)_1911tot2010.tif;Huidig;n.v.t.;Deltares op basis van NWM;2025;2018;250x250 meter;meter onder maaiveld;n.v.t.;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c55;Maatgevende_Grondwaterstand_GHG_1911_2010
Wateroverlast;Maximale grondwaterstand (HG3);Maximale_grondwaterstand_(HG3)_1911tot2010.tif;Huidig;n.v.t.;Deltares op basis van NWM;2025;2018;250x250 meter;meter onder maaiveld;n.v.t.;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c56;Maximale_Grondwaterstand_HG3_1911_2010
Wateroverlast;Ontwateringsdiepte bij maatgevende grondwaterstand (GHG);Ontwateringsdiepte_Maatgevendegrondwaterstand.tif;Huidig;n.v.t.;Deltares op basis van NWM;2025;;250x250 meter;meter onder maaiveld;n.v.t.;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c57;Maatgevende_Grondwaterstand_GHG_1911_2010, styles = OntwateringsdiepteEnOndergrondseRuimtes_GHG_1911_2010
Wateroverlast;Ontwateringsdiepte bij maximale grondwaterstand (HG3);Ontwateringsdiepte_Maximalegrondwaterstand.tif;Huidig;n.v.t.;Deltares op basis van NWM;2025;;250x250 meter;meter onder maaiveld;n.v.t.;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c58;Maximale_Grondwaterstand_HG3_1911_2010, styles=OntwateringsdiepteEnOndergrondseRuimtes_HG3_1911_2010
Wateroverlast;n.v.t.;stijging_maxgrondwaterstand_tov_maatgevendegrondwaterstand.tif;Huidig;n.v.t.;Deltares op basis van NWM;2025;;250x250 meter;meter;n.v.t.;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c59;MaxStijgingGrondwaterstand_HG3_tov_MaatgevendeGrondwaterstand_GHG_1911_2010
Wateroverlast;Ontwikkeling kans grondwateroverlast;Ontwikkeling kans grondwateroverlast 2050 Hoog.gpkg;2050 hoog;KNMI'14;Deltares op basis van NWM;2017;;250x250 meter;"Categorieën kans op grondwateroverlast: 
5 = kleine kans door lage grondwaterstand
4 = zeer grote toename kans
3 = grote toename kans
2 = aanmerkelijke toename kans
1 = kleine toename kans";gridcode;https://www.klimaateffectatlas.nl/nl/grondwateroverlast;https://www.klimaateffectatlas.nl/en/groundwater-flooding;;;https://www.nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ad767fe0-8084-4c83-8ea5-ffda49336c60;kans_grondwateroverlast_2050hoog
Wateroverlast;Gevoeligheid watererosie;Gevoeligheid watererosie.tif;Huidig;n.v.t.;Atlas Natuurlijk Kapitaal;2016;2014;50x50 meter;"Categorieën gevoeligheid watererosie:
103 = Gevoelig - Landbouw, beschermd door begroeiing
113 = Gevoelig - Landbouw, tijdelijk beschermd door begroeiing
303 = Gevoelig - Natuur, beschermd door begroeiing
313 = Gevoelig - Natuur geen bescherming door begroeiing";n.v.t.;;;;;;gevoeligheid_watererosie
Wateroverlast;Kwel en infiltratie;Kwel en infiltratie Huidig.tif Kwel en infiltratie 2050 Hoog.tif;Huidig, 2050 Hoog;KNMI'14;Deltares op basis van NWM;2016;;250x250 meter;mm/dag;n.v.t.;;;;;;kwel_infiltratie_huidig   kwel_infiltratie_2050hoog
Wateroverlast;Risico zuurstofstress;"Risico zuurstofstress 2050 Hoog.tif
Risico zuurstofstress Huidig.tif";Huidig, 2050 Hoog;KNMI'14;KWR Water Research Institure;2016;;250x250 meter;% opbrengstderving bij gras;n.v.t.;https://www.klimaateffectatlas.nl/nl/zuurstofstress;https://www.klimaateffectatlas.nl/en/oxygen-stress;;;;"zuurstofstress_2050hoog
zuurstofstress_huidig"
